# MJD	Densities (cm^3)
59000.919444	3.39
59000.920139	3.41
59000.920833	3.27
59000.921528	3.40
59000.922222	3.73
59000.922917	3.36
59000.923611	3.41
59000.924306	3.17
59000.925000	4.00
59000.925694	4.17
59000.926389	4.12
59000.927083	4.21
59000.927778	3.51
59000.928472	4.06
59000.929167	2.94
59000.929861	3.09
59000.930556	3.19
59000.931250	3.28
59000.931944	3.23
59000.932639	3.39
59000.933333	3.29
59000.934028	3.29
59000.934722	3.26
59000.935417	3.51
59000.936111	3.42
59000.936806	3.52
59000.937500	3.39
59000.938194	3.50
59000.938889	3.65
59000.939583	3.43
59000.940278	3.27
59000.940972	3.12
59000.941667	3.81
59000.942361	3.01
59000.943056	3.04
59000.943750	3.01
59000.944444	3.02
59000.945139	3.15
59000.945833	3.17
59000.946528	2.94
59000.947222	3.13
59000.947917	2.89
59000.948611	2.84
59000.949306	2.96
59000.950000	3.03
59000.950694	3.04
59000.951389	3.05
59000.952083	3.04
59000.952778	3.06
59000.953472	3.09
59000.954167	3.06
59000.954861	3.11
59000.955556	3.07
59000.956250	3.05
59000.956944	2.99
59000.957639	2.99
59000.958333	2.82
59000.959028	3.22
59000.959722	3.23
59000.960417	3.15
59000.961111	3.17
59000.961806	3.25
59000.962500	3.23
59000.963194	3.08
59000.963889	3.20
59000.964583	3.16
59000.965278	3.16
59000.965972	3.09
59000.966667	3.20
59000.967361	3.16
59000.968056	3.29
59000.968750	3.06
59000.969444	3.34
59000.970139	3.49
59000.970833	3.40
59000.971528	3.33
59000.972222	3.40
59000.972917	3.46
59000.973611	3.50
59000.974306	3.58
